method,dataset,paper,ours,diff,abs_diff
HCHA,NTU2012,90.53,65.85486907958985,-24.675130920410155,24.675130920410155
HCHA,ModelNet40,97.68,88.66839485168457,-9.01160514831544,9.01160514831544
HCHA,Ratings,28.33,27.591463565826416,-0.7385364341735823,0.7385364341735823
LEGCN,Cora,74.36,72.48892135620117,-1.8710786437988247,1.8710786437988247
LEGCN,Pubmed,87.52,86.92292060852051,-0.5970793914794825,0.5970793914794825
LEGCN,Cora-CA,74.59,72.26735649108886,-2.322643508911142,2.322643508911142
LEGCN,DBLP-CA,85.16,83.46649436950683,-1.6935056304931635,1.6935056304931635
LEGCN,Walmart,62.98,61.00990295410156,-1.9700970458984344,1.9700970458984344
LEGCN,Trivago,33.45,28.376866245269774,-5.073133754730229,5.073133754730229
LEGCN,Actor,85.34,85.97170829772949,0.6317082977294888,0.6317082977294888
LEGCN,Gamers,51.31,51.38829517364502,0.07829517364501726,0.07829517364501726
LEGCN,Pokec,59.66,59.36800079345703,-0.2919992065429682,0.2919992065429682
LEGCN,NTU2012,89.82,87.50496635437011,-2.3150336456298817,2.3150336456298817
LEGCN,ModelNet40,96.82,96.42578392028808,-0.3942160797119101,0.3942160797119101
LEGCN,Ratings,28.21,25.90387353897095,-2.306126461029052,2.306126461029052
HyperND,Cora,79.23,72.78434181213379,-6.445658187866215,6.445658187866215
HyperND,Pubmed,86.73,70.74746475219726,-15.982535247802744,15.982535247802744
HyperND,Cora-CA,83.19,73.6779914855957,-9.5120085144043,9.5120085144043
HyperND,DBLP-CA,91.34,78.00988006591797,-13.330119934082035,13.330119934082035
HyperND,Walmart,75.1,29.474678802490235,-45.62532119750976,45.62532119750976
HyperND,Actor,83.19,62.276750564575195,-20.913249435424802,20.913249435424802
HyperND,Gamers,52.39,50.761361312866214,-1.6286386871337868,1.6286386871337868
HyperND,Pokec,57.65,52.26799983978272,-5.382000160217281,5.382000160217281
HyperND,NTU2012,88.98,68.68786926269532,-20.29213073730469,20.29213073730469
HyperND,ModelNet40,97.18,59.990254974365236,-37.18974502563477,37.18974502563477
HyperND,Ratings,28.32,26.51900987625122,-1.8009901237487789,1.8009901237487789
PhenomNN,Cora,78.97,79.017724609375,0.04772460937499545,0.04772460937499545
PhenomNN,Pubmed,87.81,61.91075057983399,-25.899249420166015,25.899249420166015
PhenomNN,Cora-CA,84.05,82.24519882202148,-1.8048011779785185,1.8048011779785185
PhenomNN,DBLP-CA,91.83,89.64458847045898,-2.185411529541014,2.185411529541014
PhenomNN,Actor,83.14,65.80073719024658,-17.33926280975342,17.33926280975342
PhenomNN,Gamers,51.8,50.14394626617432,-1.6560537338256793,1.6560537338256793
PhenomNN,Pokec,58.43,56.6306676864624,-1.7993323135375974,1.7993323135375974
PhenomNN,NTU2012,88.78,50.37773132324219,-38.402268676757814,38.402268676757814
PhenomNN,ModelNet40,98.28,80.42708396911621,-17.85291603088379,17.85291603088379
PhenomNN,Ratings,28.49,26.430237102508546,-2.059762897491453,2.059762897491453
SheafHyperGNN,Cora,79.03,74.55686874389649,-4.473131256103514,4.473131256103514
SheafHyperGNN,Pubmed,87.1,86.75152206420898,-0.34847793579100994,0.34847793579100994
SheafHyperGNN,Cora-CA,84.08,78.20531692504883,-5.8746830749511645,5.8746830749511645
SheafHyperGNN,DBLP-CA,91.09,86.88214454650878,-4.20785545349122,4.20785545349122
SheafHyperGNN,Actor,85.0,83.92004776000977,-1.0799522399902344,1.0799522399902344
SheafHyperGNN,Gamers,52.07,51.418035888671874,-0.6519641113281267,0.6519641113281267
SheafHyperGNN,Pokec,59.06,58.58000030517578,-0.47999969482422244,0.47999969482422244
SheafHyperGNN,NTU2012,90.81,89.31411285400391,-1.4958871459960932,1.4958871459960932
